iter	Passed	Remaining
199	6796	20389
200	6827	20345
201	6860	20310
202	6893	20271
203	6925	20234
204	6951	20176
205	6986	20145
206	7020	20110
207	7047	20056
208	7075	20007
209	7101	19951
210	7128	19899
211	7144	19815
212	7175	19773
213	7182	19668
214	7206	19607
215	7230	19548
216	7260	19507
217	7269	19408
218	7283	19322
219	7305	19261
220	7333	19213
221	7344	19122
222	7373	19077
223	7398	19025
224	7425	18975
225	7455	18936
226	7463	18838
227	7488	18787
228	7498	18696
229	7523	18645
230	7551	18600
231	7580	18559
232	7607	18512
233	7634	18465
234	7662	18423
235	7689	18376
236	7701	18295
237	7726	18245
238	7752	18196
239	7779	18151
240	7805	18104
241	7833	18061
242	7859	18015
243	7872	17939
244	7895	17886
245	7920	17838
246	7948	17796
247	7978	17757
248	8003	17710
249	8032	17671
250	8057	17623
251	8079	17570
252	8108	17530
253	8138	17493
254	8162	17445
255	8191	17406
256	8217	17361
257	8240	17312
258	8265	17264
259	8288	17214
260	8316	17174
261	8345	17136
262	8370	17091
263	8400	17056
264	8409	16977
265	8433	16930
266	8459	16886
267	8484	16841
268	8513	16806
269	8531	16747
270	8556	16702
271	8583	16662
272	8608	16616
273	8633	16574
274	8659	16531
275	8689	16497
276	8716	16456
277	8727	16387
278	8760	16359
279	8788	16320
280	8817	16285
281	8849	16255
282	8877	16217
283	8900	16171
284	8917	16114
285	8945	16076
286	8969	16032
287	8993	15988
288	9018	15946
289	9048	15913
290	9073	15871
291	9100	15831
292	9131	15801
293	9162	15770
294	9185	15723
295	9211	15684
296	9239	15647
297	9264	15607
298	9291	15568
299	9318	15530
300	9345	15493
301	9372	15455
302	9401	15420
303	9427	15381
304	9454	15344
305	9485	15313
306	9519	15286
307	9558	15268
308	9594	15246
309	9628	15218
310	9663	15193
311	9693	15161
312	9726	15133
313	9760	15106
314	9799	15087
315	9828	15054
316	9857	15018
317	9883	14980
318	9908	14940
319	9936	14905
320	9963	14867
321	9991	14832
322	10017	14793
323	10058	14777
324	10103	14766
325	10142	14747
326	10185	14733
327	10229	14721
328	10269	14701
329	10310	14685
330	10345	14658
331	10382	14635
332	10422	14616
333	10458	14591
334	10489	14560
335	10522	14531
336	10566	14516
337	10594	14481
338	10624	14448
339	10657	14418
340	10687	14386
341	10720	14356
342	10748	14321
343	10780	14290
344	10809	14255
345	10848	14234
346	10877	14200
347	10925	14191
348	10950	14150
349	10977	14114
350	11005	14078
351	11027	14035
352	11057	14001
353	11084	13964
354	11111	13927
355	11151	13907
356	11204	13903
357	11242	13880
358	11274	13849
359	11306	13819
360	11347	13798
361	11382	13772
362	11418	13746
363	11448	13712
364	11562	13780
365	11597	13752
366	11627	13718
367	11676	13707
368	11705	13671
369	11736	13640
370	11765	13605
371	11789	13564
372	11821	13532
373	11854	13502
374	11882	13466
375	11907	13427
376	11939	13396
377	11980	13374
378	12014	13346
379	12054	13323
380	12098	13304
381	12136	13279
382	12173	13253
383	12207	13224
384	12242	13196
385	12274	13164
386	12301	13127
387	12327	13089
388	12350	13048
389	12378	13012
390	12403	12974
391	12430	12937
392	12461	12905
393	12491	12872
394	12521	12838
395	12546	12800
396	12575	12765
397	12603	12729
398	12636	12700
399	12669	12669
400	12703	12640
401	12736	12609
402	12773	12582
403	12808	12554
404	12842	12524
405	12882	12501
406	12916	12471
407	12946	12438
408	12978	12407
409	13012	12377
410	13049	12350
411	13083	12321
412	13118	12292
413	13154	12264
414	13190	12236
415	13222	12205
416	13247	12166
417	13271	12128
418	13298	12092
419	13327	12058
420	13361	12028
421	13394	11998
422	13429	11968
423	13460	11936
424	13494	11907
425	13528	11877
426	13556	11842
427	13589	11811
428	13622	11780
429	13658	11752
430	13697	11726
431	13736	11701
432	13777	11677
433	13812	11648
434	13845	11617
435	13881	11588
436	13919	11562
437	13952	11531
438	13985	11500
439	14019	11470
440	14055	11441
441	14089	11411
442	14121	11379
443	14145	11341
444	14174	11307
445	14200	11271
446	14229	11236
447	14253	11198
448	14278	11162
449	14301	11123
450	14330	11089
451	14359	11055
452	14388	11021
453	14414	10985
454	14441	10950
455	14467	10914
456	14493	10878
457	14521	10843
458	14548	10808
459	14574	10772
460	14602	10738
461	14633	10705
462	14658	10669
463	14685	10634
464	14710	10598
465	14736	10562
466	14765	10528
467	14797	10497
468	14821	10460
469	14849	10426
470	14875	10390
471	14901	10355
472	14926	10318
473	14954	10285
474	14981	10250
475	15007	10215
476	15034	10180
477	15062	10146
478	15086	10110
479	15118	10079
480	15150	10048
481	15184	10018
482	15222	9990
483	15262	9964
484	15296	9934
485	15330	9905
486	15361	9873
487	15391	9840
488	15420	9807
489	15450	9774
490	15487	9746
491	15516	9713
492	15539	9676
493	15567	9642
494	15593	9608
495	15621	9574
496	15650	9541
497	15676	9506
498	15701	9471
499	15727	9436
500	15755	9403
501	15779	9366
502	15807	9333
503	15835	9300
504	15860	9265
505	15892	9233
506	15920	9200
507	15946	9166
508	15970	9130
509	15995	9095
510	16027	9064
511	16056	9031
512	16085	8999
513	16122	8970
514	16151	8938
515	16177	8904
516	16208	8872
517	16239	8840
518	16268	8808
519	16295	8774
520	16323	8741
521	16349	8707
522	16375	8672
523	16404	8640
524	16432	8607
525	16458	8573
526	16484	8539
527	16514	8507
528	16543	8474
529	16569	8440
530	16594	8406
531	16620	8372
532	16646	8338
533	16672	8305
534	16697	8270
535	16723	8237
536	16752	8204
537	16779	8171
538	16804	8137
539	16830	8103
540	16857	8070
541	16887	8038
542	16914	8005
543	16942	7972
544	16965	7937
545	16992	7904
546	17019	7871
547	17046	7838
548	17079	7808
549	17104	7774
550	17129	7740
551	17153	7706
552	17187	7676
553	17227	7649
554	17261	7619
555	17296	7590
556	17329	7560
557	17352	7525
558	17380	7493
559	17412	7462
560	17442	7431
561	17470	7398
562	17501	7367
563	17530	7335
564	17555	7302
565	17589	7271
566	17621	7241
567	17654	7210
568	17680	7177
569	17710	7146
570	17738	7114
571	17763	7080
572	17792	7048
573	17822	7017
574	17851	6985
575	17878	6952
576	17907	6920
577	17925	6884
578	17946	6850
579	17975	6818
580	18003	6786
581	18030	6753
582	18057	6721
583	18084	6688
584	18111	6656
585	18138	6624
586	18166	6592
587	18195	6560
588	18218	6526
589	18248	6495
590	18276	6463
591	18304	6431
592	18336	6400
593	18365	6369
594	18392	6336
595	18422	6305
596	18451	6274
597	18480	6242
598	18502	6208
599	18532	6177
600	18560	6145
601	18585	6112
602	18611	6080
603	18636	6047
604	18666	6016
605	18698	5985
606	18744	5959
607	18771	5927
608	18812	5900
609	18847	5870
610	18880	5840
611	18911	5809
612	18941	5778
613	18970	5746
614	18997	5714
615	19023	5682
616	19051	5650
617	19081	5619
618	19108	5587
619	19129	5553
620	19153	5521
621	19184	5490
622	19214	5458
623	19240	5426
624	19268	5395
625	19294	5362
626	19319	5330
627	19344	5298
628	19373	5266
629	19401	5235
630	19435	5205
631	19460	5173
632	19491	5142
633	19518	5110
634	19543	5078
635	19578	5048
636	19604	5016
637	19628	4984
638	19657	4952
639	19685	4921
640	19709	4888
641	19736	4857
642	19763	4825
643	19789	4793
644	19816	4761
645	19845	4730
646	19869	4698
647	19898	4667
648	19929	4636
649	19957	4605
650	19982	4573
651	20009	4542
652	20036	4510
653	20063	4479
654	20091	4447
655	20117	4416
656	20145	4384
657	20170	4352
658	20195	4320
659	20219	4289
660	20248	4258
661	20276	4226
662	20304	4195
663	20331	4164
664	20359	4133
665	20382	4100
666	20407	4069
667	20434	4037
668	20459	4006
669	20486	3974
670	20511	3943
671	20541	3912
672	20574	3882
673	20602	3851
674	20628	3820
675	20652	3788
676	20681	3757
677	20709	3726
678	20736	3695
679	20767	3664
680	20796	3634
681	20827	3603
682	20851	3571
683	20882	3541
684	20913	3510
685	20940	3479
686	20968	3448
687	20993	3417
688	21020	3386
689	21046	3355
690	21074	3324
691	21102	3293
692	21129	3262
693	21153	3230
694	21180	3199
695	21204	3168
696	21233	3137
697	21262	3107
698	21290	3076
699	21316	3045
700	21347	3014
701	21376	2984
702	21403	2953
703	21430	2922
704	21457	2891
705	21482	2860
706	21507	2829
707	21536	2798
708	21563	2767
709	21589	2736
710	21619	2706
711	21650	2675
712	21677	2645
713	21700	2613
714	21727	2583
715	21753	2552
716	21776	2520
717	21804	2490
718	21831	2459
719	21860	2428
720	21889	2398
721	21914	2367
722	21938	2336
723	21964	2305
724	21991	2274
725	22020	2244
726	22049	2214
727	22075	2183
728	22101	2152
729	22130	2122
730	22157	2091
731	22183	2060
732	22214	2030
733	22242	1999
734	22271	1969
735	22297	1938
736	22324	1908
737	22353	1877
738	22380	1847
739	22406	1816
740	22430	1785
741	22458	1755
742	22487	1725
743	22518	1694
744	22546	1664
745	22579	1634
746	22610	1604
747	22640	1573
748	22668	1543
749	22695	1513
750	22727	1482
751	22752	1452
752	22778	1421
753	22805	1391
754	22834	1360
755	22862	1330
756	22889	1300
757	22917	1269
758	22942	1239
759	22974	1209
760	22999	1178
761	23024	1148
762	23052	1117
763	23086	1087
764	23121	1057
765	23148	1027
766	23174	997
767	23205	966
768	23230	936
769	23259	906
770	23287	875
771	23330	846
772	23361	815
773	23391	785
774	23417	755
775	23450	725
776	23477	694
777	23503	664
778	23532	634
779	23560	604
780	23590	573
781	23618	543
782	23648	513
783	23680	483
784	23712	453
785	23744	422
786	23775	392
787	23806	362
788	23837	332
789	23865	302
790	23897	271
791	23929	241
792	23965	211
793	23995	181
794	24025	151
795	24052	120
796	24080	90
797	24109	60
798	24136	30
799	24164	0
