iter	Logloss
0	0.6767648775
1	0.6614300693
2	0.6473020262
3	0.6325952665
4	0.6199486173
5	0.6106442198
6	0.5976574457
7	0.5881737002
8	0.5785729856
9	0.5726909515
10	0.5644299173
11	0.5571466297
12	0.5498844967
13	0.5440211893
14	0.5383853609
15	0.5315169761
16	0.5279715201
17	0.5237847884
18	0.5182378422
19	0.513112597
20	0.5076512931
21	0.5034219606
22	0.499739864
23	0.496630537
24	0.4925829796
25	0.4896071212
26	0.4864796364
27	0.4836517002
28	0.4807477858
29	0.4783428127
30	0.4761573337
31	0.4735695188
32	0.4707807866
33	0.4678457886
34	0.4660471818
35	0.4633795806
36	0.4611167048
37	0.4588968052
38	0.4564830623
39	0.4548945134
40	0.4528906299
41	0.4525967335
42	0.4504338849
43	0.4483073116
44	0.4469319917
45	0.4449609172
46	0.4436998151
47	0.4421960599
48	0.4408651298
49	0.4388816668
50	0.4374197679
51	0.436035162
52	0.4349434504
53	0.4336210576
54	0.4323434843
55	0.4310647922
56	0.430154397
57	0.4288207238
58	0.4280414505
59	0.4271374902
60	0.4262532066
61	0.4253209876
62	0.4243603834
63	0.4237301157
64	0.4220364749
65	0.4207556503
66	0.4197429722
67	0.4189863533
68	0.4181399956
69	0.4174315952
70	0.4164980442
71	0.4160088927
72	0.4151673369
73	0.414496956
74	0.4135733454
75	0.412993108
76	0.4124038296
77	0.4117926023
78	0.4111680274
79	0.4111203441
80	0.4106490594
81	0.4094798329
82	0.4086970326
83	0.408192204
84	0.4068804805
85	0.4064967971
86	0.4062230898
87	0.4054306122
88	0.4051068413
89	0.4045302654
90	0.4040394982
91	0.4031123276
92	0.4026448341
93	0.4020789424
94	0.4019224575
95	0.4016666762
96	0.4011846819
97	0.4006644088
98	0.4003585602
99	0.399964401
100	0.3997047086
101	0.3991864491
102	0.398817399
103	0.3983301525
104	0.3976541401
105	0.3965820563
106	0.3961253755
107	0.395564354
108	0.3950890211
109	0.3945536443
110	0.3942090683
111	0.3936082288
112	0.3930900951
113	0.3923486868
114	0.3920713931
115	0.3916863086
116	0.3911257402
117	0.3909216108
118	0.3903250139
119	0.3901931917
120	0.3897740189
121	0.3891553773
122	0.3887197814
123	0.3883545817
124	0.3877795951
125	0.387090005
126	0.3869247957
127	0.3865587951
128	0.3860120818
129	0.3858582306
130	0.3856248209
131	0.3852092336
132	0.3848253628
133	0.3845897167
134	0.3839895444
135	0.3837904713
136	0.38318221
137	0.3828884214
138	0.3828134346
139	0.3823924703
140	0.3819298978
141	0.381760016
142	0.3813222773
143	0.3807841233
144	0.3803181384
145	0.379978861
146	0.3796391618
147	0.3796154237
148	0.3793397133
149	0.379101108
150	0.3789668232
151	0.3784015415
152	0.3779083419
153	0.3773695263
154	0.3770823912
155	0.3766149697
156	0.3762050582
157	0.3758909105
158	0.3757270985
159	0.3752230557
160	0.3751993273
161	0.3747702601
162	0.3746063545
163	0.3745107549
164	0.3741238767
165	0.3738173419
166	0.3736000898
167	0.3733960001
168	0.3731916731
169	0.3731255926
170	0.3728803474
171	0.3724946732
172	0.3722120062
173	0.3720609934
174	0.3719757962
175	0.3717351235
176	0.371677326
177	0.3713654535
178	0.3711784812
179	0.3710389804
180	0.3707979783
181	0.3707228101
182	0.3703288267
183	0.3699577552
184	0.369767444
185	0.3695182942
186	0.3690507879
187	0.3688800966
188	0.3683249817
189	0.3681111567
190	0.3679623816
191	0.367771128
192	0.3675415613
193	0.3674833279
194	0.3669009728
195	0.3665888375
196	0.3663601989
197	0.3661124965
198	0.3658006102
199	0.3654250878
200	0.3651906134
201	0.3648550029
202	0.3646102692
203	0.3644021613
204	0.3642503742
205	0.3638147802
206	0.3635890932
207	0.3632141758
208	0.3629672782
209	0.3626956314
210	0.3624349979
211	0.3623768387
212	0.3621787608
213	0.3621554481
214	0.3618391422
215	0.3616510449
216	0.3615347637
217	0.3614604885
218	0.3614184365
219	0.3610268207
220	0.3607955964
221	0.3607655144
222	0.36040378
223	0.3602363018
224	0.3601367612
225	0.3596908164
226	0.3596809965
227	0.3595516778
228	0.359509664
229	0.3593738511
230	0.3589998844
231	0.3587493553
232	0.3585193907
233	0.3583798113
234	0.3580604264
235	0.3576725915
236	0.3576435757
237	0.3573457621
238	0.3570629065
239	0.3566634431
240	0.3565619558
241	0.3562901135
242	0.3560990913
243	0.3560688785
244	0.3558426035
245	0.3554764108
246	0.3553716775
247	0.3552326198
248	0.355085654
249	0.35465583
250	0.3543923854
251	0.3542645381
252	0.3540908444
253	0.353761618
254	0.353284184
255	0.3529777826
256	0.3526388959
257	0.3521778764
258	0.3519187573
259	0.3517951674
260	0.3514262131
261	0.3512065676
262	0.3509276108
263	0.3506350043
264	0.35059851
265	0.3502841181
266	0.3496930273
267	0.3493289363
268	0.3492094961
269	0.3491190644
270	0.3487926887
271	0.3486652079
272	0.348378413
273	0.3481829294
274	0.3480324548
275	0.3478518079
276	0.3477188051
277	0.3477173119
278	0.3474760142
279	0.3473533988
280	0.3471685352
281	0.3467582881
282	0.3464561055
283	0.3463255733
284	0.3462441399
285	0.3460057628
286	0.3456165651
287	0.3454339085
288	0.3452249022
289	0.3450376715
290	0.3449023469
291	0.3448299573
292	0.3447310797
293	0.3443768892
294	0.3439990417
295	0.3436144074
296	0.3431956013
297	0.3428520823
298	0.3427164836
299	0.3426581381
300	0.3424940195
301	0.3422777294
302	0.3419747428
303	0.3418602116
304	0.3413892831
305	0.341155633
306	0.34072794
307	0.3404743647
308	0.3403078685
309	0.3397939235
310	0.339543008
311	0.3393750806
312	0.33884885
313	0.338684913
314	0.3385798619
315	0.3384270651
316	0.3381218274
317	0.337985343
318	0.3377114882
319	0.3374757663
320	0.3372084906
321	0.3368681458
322	0.3363193731
323	0.3359804282
324	0.3358561894
325	0.3356824233
326	0.3352771202
327	0.3350258028
328	0.334828268
329	0.3346393665
330	0.3343930562
331	0.3342367444
332	0.3339789946
333	0.333677651
334	0.3335751789
335	0.3333914041
336	0.3332551971
337	0.3330397808
338	0.3328287566
339	0.3324150685
340	0.3320501082
341	0.3317311399
342	0.3316461276
343	0.3313465132
344	0.3312336878
345	0.3311733042
346	0.3310295055
347	0.3309281406
348	0.3308226296
349	0.3306731103
350	0.3304475527
351	0.3298818781
352	0.3294802423
353	0.3290609229
354	0.3286380298
355	0.3284693529
356	0.3280469625
357	0.3278344675
358	0.3275690827
359	0.3275308079
360	0.3273823527
361	0.3270718706
362	0.3269824132
363	0.3268276782
364	0.3266722819
365	0.3264742615
366	0.3261266679
367	0.3257815584
368	0.3253799179
369	0.3251628058
370	0.3250704647
371	0.3249607229
372	0.3249351453
373	0.3247641308
374	0.3245952683
375	0.3245289098
376	0.3241831457
377	0.323898552
378	0.3235620585
379	0.3234182261
380	0.3232391297
381	0.3231028571
382	0.3228801685
383	0.3226915047
384	0.3221196341
385	0.3216670993
386	0.3215565809
387	0.3211104833
388	0.3208929134
389	0.3207478667
390	0.3206580103
391	0.32052185
392	0.3202633145
393	0.3201157955
394	0.3200308905
